,open_time,open,high,low,close,volume,close_time
340,1638835200000,50424.72,51929.00,50012.00,50577.20,224670.618,1638921599999
341,1638921600000,50577.20,51210.60,48533.33,50455.61,238229.884,1639007999999
342,1639008000000,50459.61,50773.03,47312.89,47539.76,273086.086,1639094399999
343,1639094400000,47539.34,50188.42,46828.23,47136.35,302974.429,1639180799999
344,1639180800000,47132.31,49499.05,46724.35,49381.15,210959.992,1639267199999
345,1639267200000,49379.51,50768.00,48616.16,50057.01,183434.285,1639353599999
346,1639353600000,50057.02,50180.00,45600.00,46679.93,348551.322,1639439999999
347,1639440000000,46679.93,48657.92,46255.60,48324.04,266213.627,1639526399999
348,1639526400000,48324.00,49479.75,46518.73,48870.48,345239.891,1639612799999
349,1639612800000,48870.48,49439.79,47500.00,47624.50,215874.187,1639699199999
350,1639699200000,47629.10,47988.27,45373.11,46125.33,326458.135,1639785599999
351,1639785600000,46125.33,47336.99,45438.43,46815.99,191006.415,1639871999999
352,1639872000000,46815.99,48461.17,46399.37,46668.63,241698.541,1639958399999
